脱敏数据 随机生成编号,,
入库单号, 凭证金额 ,合同编号
339056608782," 816,803.00 ",ABCD202x-864
111179858011," 517,405.00 ",ABCD202x-089
790409105944," 939,975.00 ",ABCD202x-318
226321011952," 49,606.00 ",ABCD202x-900
300369641553," 495,324.00 ",ABCD202x-035
111034735689," 74,080.00 ",ABCD202x-196
969314092662," 885,130.00 ",ABCD202x-315
803974724947," 767,917.00 ",ABCD202x-627
875657979600," 36,481.00 ",ABCD202x-089
653549133097," 410,694.00 ",ABCD202x-664
686510095734," 392,696.00 ",ABCD202x-124
683316050843," 747,757.00 ",ABCD202x-443
751479305677," 420,658.00 ",ABCD202x-471
386061328915," 647,349.00 ",ABCD202x-843
118902759411," 373,902.00 ",ABCD202x-369
142748734925," 822,004.00 ",ABCD202x-012
257447957399," 349,165.00 ",ABCD202x-122
495497955721," 852,017.00 ",ABCD202x-280
648233091340," 862,631.00 ",ABCD202x-478
513576634176," 958,301.00 ",ABCD202x-435
545737800594," 181,541.00 ",ABCD202x-384
906100195648," 832,500.00 ",ABCD202x-780
507198033779," 466,019.00 ",ABCD202x-000
913313247068," 752,447.00 ",ABCD202x-271
416713771173," 497,826.00 ",ABCD202x-070
502266503818," 732,972.00 ",ABCD202x-374
937660533733," 805,602.00 ",ABCD202x-533
856514625271," 719,572.00 ",ABCD202x-063
127238709173," 937,225.00 ",ABCD202x-761
659899972797," 172,446.00 ",ABCD202x-202
929542390126," 317,444.00 ",ABCD202x-200
972011175383," 165,190.00 ",ABCD202x-765
134329933124," 840,148.00 ",ABCD202x-393
187440437856," 43,551.00 ",ABCD202x-361
659514267171," 331,223.00 ",ABCD202x-984
871191570697," 171,406.00 ",ABCD202x-255
549038061834," 507,064.00 ",ABCD202x-620
711709400465," 616,466.00 ",ABCD202x-487
549950973183," 89,497.00 ",ABCD202x-541
175410895739," 200,185.00 ",ABCD202x-898
229019146274," 282,849.00 ",ABCD202x-493
144461959367," 834,005.00 ",ABCD202x-770
320475256541," 526,418.00 ",ABCD202x-667
253713945404," 193,577.00 ",ABCD202x-098
126471006233," 563,550.00 ",ABCD202x-814
181035071096," 716,967.00 ",ABCD202x-908
528387850037," 69,524.00 ",ABCD202x-308
571897258178," 159,806.00 ",ABCD202x-694
505705478087," 251,356.00 ",ABCD202x-401
882239658736," 317,968.00 ",ABCD202x-054
957491850620," 319,089.00 ",ABCD202x-180
382104910227," 804,795.00 ",ABCD202x-059
775107968665," 17,348.00 ",ABCD202x-284
412256797426," 338,785.00 ",ABCD202x-176
577957689940," 887,127.00 ",ABCD202x-731
144208591823," 404,936.00 ",ABCD202x-877
522758979302," 892,966.00 ",ABCD202x-173
337439104465," 649,240.00 ",ABCD202x-139
309581241728," 68,439.00 ",ABCD202x-571
752855219067," 409,932.00 ",ABCD202x-478
279181318599," 843,880.00 ",ABCD202x-410
367137733511," 634,370.00 ",ABCD202x-733
914368244372," 500,416.00 ",ABCD202x-851
688208808367," 577,463.00 ",ABCD202x-472
290821818280," 461,068.00 ",ABCD202x-182
250735459479," 57,532.00 ",ABCD202x-213
102931528668," 756,468.00 ",ABCD202x-322
706474846085," 75,792.00 ",ABCD202x-582
680935074556," 785,137.00 ",ABCD202x-112
659538074372," 951,652.00 ",ABCD202x-804
706397700182," 153,379.00 ",ABCD202x-973
423437297746," 810,656.00 ",ABCD202x-441
963678669676," 730,778.00 ",ABCD202x-195
609197600116," 747,722.00 ",ABCD202x-010
817739333607," 432,482.00 ",ABCD202x-868
808686309916," 81,791.00 ",ABCD202x-665
281209837995," 80,092.00 ",ABCD202x-174
255319969425," 89,903.00 ",ABCD202x-205
701396383968," 93,789.00 ",ABCD202x-794
688309937059," 340,517.00 ",ABCD202x-901
693881741395," 495,922.00 ",ABCD202x-063
818899635871," 335,161.00 ",ABCD202x-471
750218341851," 589,360.00 ",ABCD202x-277
363876868817," 131,585.00 ",ABCD202x-236
621462327722," 75,919.00 ",ABCD202x-203
912503451376," 409,804.00 ",ABCD202x-542
992511910723," 581,341.00 ",ABCD202x-557
124783410003," 298,901.00 ",ABCD202x-918
338118215179," 43,595.00 ",ABCD202x-012
223087289658," 942,133.00 ",ABCD202x-157
681375838234," 192,103.00 ",ABCD202x-418
645523546499," 123,300.00 ",ABCD202x-364
978945194961," 360,856.00 ",ABCD202x-624
610768477746," 68,251.00 ",ABCD202x-127
436584888920," 608,052.00 ",ABCD202x-667
906130489216," 858,501.00 ",ABCD202x-765
685490336354," 278,121.00 ",ABCD202x-498
484794640776," 774,676.00 ",ABCD202x-391
205300464850," 683,516.00 ",ABCD202x-889
823893189456," 395,459.00 ",ABCD202x-527
359376258975," 176,141.00 ",ABCD202x-575
863146515190," 954,389.00 ",ABCD202x-735
574431054281," 952,690.00 ",ABCD202x-174
976054734239," 739,028.00 ",ABCD202x-419
669072379441," 310,764.00 ",ABCD202x-617
676345429757," 535,722.00 ",ABCD202x-829
776082938909," 247,405.00 ",ABCD202x-597
153417716345," 932,222.00 ",ABCD202x-144
270762179164," 966,176.00 ",ABCD202x-393
866810820142," 651,503.00 ",ABCD202x-278
880252550083," 839,255.00 ",ABCD202x-069
269306556920," 325,300.00 ",ABCD202x-397
339801446677," 235,095.00 ",ABCD202x-155
642585369632," 900,797.00 ",ABCD202x-227
840213756263," 791,317.00 ",ABCD202x-724
446785918756," 454,188.00 ",ABCD202x-856
554763444310," 540,830.00 ",ABCD202x-600
222663887674," 889,753.00 ",ABCD202x-667
748615843739," 50,439.00 ",ABCD202x-000
425548171801," 750,087.00 ",ABCD202x-818
855775949813," 948,712.00 ",ABCD202x-665
913160340563," 531,400.00 ",ABCD202x-777
714846610893," 861,289.00 ",ABCD202x-122
453418119682," 162,105.00 ",ABCD202x-186
899106832206," 217,761.00 ",ABCD202x-915
387553049160," 847,166.00 ",ABCD202x-525
554705329620," 412,058.00 ",ABCD202x-302
152517384200," 480,707.00 ",ABCD202x-689
445635765926," 495,536.00 ",ABCD202x-413
640189990427," 557,560.00 ",ABCD202x-882
253510301053," 551,144.00 ",ABCD202x-132
725630192938," 658,803.00 ",ABCD202x-327
560022908138," 383,344.00 ",ABCD202x-988
885220579448," 372,930.00 ",ABCD202x-947
483739802076," 861,332.00 ",ABCD202x-453
903156495917," 980,676.00 ",ABCD202x-479
905827744661," 685,807.00 ",ABCD202x-080
640342759043," 226,969.00 ",ABCD202x-254
737515098341," 702,940.00 ",ABCD202x-970
364426173827," 339,304.00 ",ABCD202x-464
844419080045," 810,424.00 ",ABCD202x-648
321158474115," 497,011.00 ",ABCD202x-566
603110426050," 190,838.00 ",ABCD202x-449
690058464522," 416,521.00 ",ABCD202x-408
597989949084," 571,053.00 ",ABCD202x-545
915004824144," 714,625.00 ",ABCD202x-424
284906720245," 807,441.00 ",ABCD202x-569
257963125242," 475,796.00 ",ABCD202x-292
529677400456," 251,212.00 ",ABCD202x-305
321626646084," 382,429.00 ",ABCD202x-081
481146941838," 894,530.00 ",ABCD202x-812
652944316065," 917,244.00 ",ABCD202x-985
873858902370," 136,835.00 ",ABCD202x-567
454076722760," 796,122.00 ",ABCD202x-101
355932377853," 397,520.00 ",ABCD202x-152
242495381192," 121,801.00 ",ABCD202x-363
675514395998," 958,558.00 ",ABCD202x-664
287482392797," 55,987.00 ",ABCD202x-203
848228015875," 27,312.00 ",ABCD202x-330
976621997007," 38,517.00 ",ABCD202x-890
463868046016," 75,631.00 ",ABCD202x-138
970111330391," 602,889.00 ",ABCD202x-530
762711660613," 475,411.00 ",ABCD202x-735
656340212420," 911,110.00 ",ABCD202x-451
388081963898," 477,672.00 ",ABCD202x-308
244435551420," 605,694.00 ",ABCD202x-715
373122369301," 396,885.00 ",ABCD202x-866
315058128992," 249,621.00 ",ABCD202x-729
460752292983," 760,916.00 ",ABCD202x-124
615667831035," 920,723.00 ",ABCD202x-147
697702673262," 836,738.00 ",ABCD202x-850
395364367479," 886,925.00 ",ABCD202x-289
203553446109," 134,798.00 ",ABCD202x-277
165883884944," 427,559.00 ",ABCD202x-710
884508109305," 558,455.00 ",ABCD202x-144
862673063660," 850,415.00 ",ABCD202x-518
250921606319," 617,228.00 ",ABCD202x-726
116949333547," 851,778.00 ",ABCD202x-624
893682784806," 446,197.00 ",ABCD202x-468
547693069096," 837,628.00 ",ABCD202x-682
994067885816," 730,885.00 ",ABCD202x-801
168948676852," 388,994.00 ",ABCD202x-349
323457685395," 181,754.00 ",ABCD202x-082
296560424693," 794,576.00 ",ABCD202x-516
841070126590," 386,259.00 ",ABCD202x-181
229000669266," 212,033.00 ",ABCD202x-806
721773868825," 921,873.00 ",ABCD202x-926
624557548887," 426,318.00 ",ABCD202x-693
243504076240," 499,213.00 ",ABCD202x-101
798600081494," 784,275.00 ",ABCD202x-265
807273610860," 49,647.00 ",ABCD202x-971
183184378588," 797,734.00 ",ABCD202x-687
543422122382," 157,805.00 ",ABCD202x-425
193140754306," 744,417.00 ",ABCD202x-183
748882488872," 978,668.00 ",ABCD202x-511
808581569603," 216,509.00 ",ABCD202x-104
721640129486," 820,663.00 ",ABCD202x-021
166655899006," 445,292.00 ",ABCD202x-843
345908742091," 106,753.00 ",ABCD202x-784
255456257014," 375,732.00 ",ABCD202x-505
309683177618," 253,174.00 ",ABCD202x-488
784319681816," 234,769.00 ",ABCD202x-284
931979902262," 315,583.00 ",ABCD202x-765
334066575536," 981,778.00 ",ABCD202x-067
558337418686," 706,359.00 ",ABCD202x-934
701316903831," 90,608.00 ",ABCD202x-349
291064463575," 599,138.00 ",ABCD202x-122
156577283416," 535,637.00 ",ABCD202x-932
695663074695," 182,073.00 ",ABCD202x-049
154383370027," 920,145.00 ",ABCD202x-690
308055053814," 778,833.00 ",ABCD202x-101
858699356935," 898,557.00 ",ABCD202x-595
326728499587," 806,405.00 ",ABCD202x-566
749991625998," 412,620.00 ",ABCD202x-480
114862148789," 118,541.00 ",ABCD202x-386
